School,Latitude,Longitude,mer_coords_x,mer_coords_y,Q3 SY20,Q4 SY20,Summer SY20,Q1 SY21,Q2 SY21,20210115
JONES HIGH SCHOOL,41.87306592,-87.62767532,-9754668.19634538,5141984.258586115,1,0,1,0,1,1
JOPLIN,41.74933916,-87.66936565,-9759309.142284684,5123505.306113607,0,0,0,0,0,0
JORDAN,42.01708759,-87.67776252,-9760243.877269661,5163539.426077767,1,0,0,0,0,0
JUAREZ HIGH SCHOOL,41.85267014,-87.66433931,-9758749.61267154,5138935.629702238,0,0,2,1,3,3
JULIAN HIGH SCHOOL,41.70585894,-87.65374921,-9757570.728264295,5117019.868204862,0,0,0,2,0,0
JUNGMAN,41.85806478,-87.65230159,-9757409.580356458,5139741.890728554,0,0,0,1,0,0
KANOON,41.85077148,-87.70511208,-9763288.416390333,5138651.881064862,0,1,0,0,1,1
KELLER,41.69717033,-87.69727834,-9762416.368431492,5115724.4167556865,0,0,0,0,1,1
KELLMAN,41.87016772,-87.7021629,-9762960.115984267,5141550.994472025,0,0,0,1,0,0
KELLOGG,41.72526344,-87.67723251,-9760184.876735095,5119913.669342773,0,0,0,0,0,0
KELLY HIGH SCHOOL,41.81872906,-87.69463866,-9762122.520921199,5133864.494151272,0,0,0,1,0,0
KELVYN PARK HIGH SCHOOL,41.9279184,-87.73599882,-9766726.713058611,5150188.078326329,0,0,0,0,0,0
KENNEDY HIGH SCHOOL,41.78996125,-87.78083976,-9771718.382944634,5129568.399682073,0,0,1,2,0,0
KENWOOD HIGH SCHOOL,41.80377212,-87.59042089,-9750521.051782351,5131630.630328595,0,0,2,1,2,2
KERSHAW,41.77645281,-87.64089203,-9756139.472940454,5127551.756587983,0,0,0,0,0,0
KILMER,42.00364046,-87.66822247,-9759181.883738302,5161524.783273796,0,0,0,0,0,0
KING ELEMENTARY SCHOOL,41.76533498,-87.64133454,-9756188.733517993,5125892.320830701,0,0,0,0,1,1
